PUID_SIX,GENDER_DESC,REPORTING_ETHNICITY,UNDERREPRESENTED_MINORITY_IND,ADMISSIONS_ATTRIBUTE_DESC,COUNTY_DESC,STATE_PROVINCE_DESC,NATION_DESC,RESIDENCY_DESC,CONFIDENTIALITY_IND,DECEASED_STATUS,ACADEMIC_PERIOD,ACADEMIC_PERIOD_DESC,CAMPUS,COURSE_IDENTIFICATION,COURSE_SECTION_NUMBER,COURSE_REFERENCE_NUMBER,REGISTRATION_STATUS,REGISTRATION_STATUS_DESC,FINAL_GRADE,REPEAT_COURSE_IND
033907,Male,Asian,N,1st Generation Student,Allen,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,001,25707,RE,**Registered**,C-,
034409,Female,White,N,1st Generation Student,,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,003,27017,RW,**Web Registered**,,
035115,Female,2 or more races,N,,,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS17200,017,28586,RW,**Web Registered**,A,
035236,Male,White,N,,Adams,Indiana,United States,Resident,N,N,202120,Spring 2021,PWL,PHYS17200,022,28591,RE,**Registered**,A,
035291,Female,White,N,,Adams,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS17200,020,28589,RE,**Registered**,A,
035348,Female,White,N,,,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,002,27016,RE,**Registered**,,
035542,Male,White,N,1st Generation Student,,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,002,27016,RW,**Web Registered**,,
035856,Male,White,N,,Allen,Indiana,United States,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,002,27016,RE,**Registered**,,
035878,Female,White,N,,Allen,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,050,10333,RE,**Registered**,,
036899,Male,White,N,,,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,003,27017,RE,**Registered**,,
036970,Female,White,N,,Wells,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,002,27016,RE,**Registered**,,
037456,Male,Hispanic/Latino,Y,,Porter,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,001,25707,W,Withdrawn-W,W,
037718,Female,2 or more races,Y,,Porter,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS17200,020,28589,RE,**Registered**,C+,
039336,Female,White,N,,Kosciusko,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,003,11270,RE,**Registered**,B,
039357,Male,White,N,,Tippecanoe,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,001,25707,RW,**Web Registered**,B-,I
039427,Female,White,N,,Lagrange,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,002,27016,RE,**Registered**,,
039603,Female,White,N,,Wells,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,001,25707,RE,**Registered**,D-,
039696,Female,White,N,,Allen,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,002,27016,RE,**Registered**,,
039933,Female,White,N,,Huntington,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,002,27016,RE,**Registered**,,
039961,Female,White,N,,Allen,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,002,27016,W,Withdrawn-W,W,
040042,Female,White,N,,Allen,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,002,27016,RE,**Registered**,,
040214,Female,White,N,,Kosciusko,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS17200,022,28591,RE,**Registered**,C+,
040544,Female,White,N,1st Generation Student,Hamilton,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS17200,020,28589,RW,**Web Registered**,C-,I
040583,Female,Unknown,N,,Dupage,Illinois,,Non-Resident,N,N,202210,Fall 2021,PWL,PHYS22000,050,10333,RE,**Registered**,,
040758,Male,White,N,,Elkhart,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,001,25707,RE,**Registered**,C-,
040762,Male,Hispanic/Latino,Y,1st Generation Student,Hamilton,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,003,11270,RE,**Registered**,C+,
040871,Female,White,N,,Hancock,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,001,25707,RW,**Web Registered**,B,
041501,Female,Black or African American,Y,,Lake,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,002,25708,RW,**Web Registered**,A,
041741,Female,White,N,,Bernalillo,New Mexico,,Non-Resident,N,N,202120,Spring 2021,PWL,PHYS22000,002,25708,RE,**Registered**,B-,
041909,Female,White,N,1st Generation Student,Noble,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,003,11270,RW,**Web Registered**,F,E
042135,Female,White,N,,St Joseph,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,002,25708,RE,**Registered**,F,
042135,Female,White,N,,St Joseph,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,050,10333,RW,**Web Registered**,,
042188,Male,White,N,,Vigo,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,062,23960,DC,Drop Course,,
042426,Male,White,N,,Vanderburgh,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,002,25708,RE,**Registered**,C-,
042883,Male,White,N,,Kosciusko,Indiana,United States,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,002,25708,RW,**Web Registered**,D+,E
042896,Female,Hispanic/Latino,Y,,,Indiana,United States,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,050,10333,RE,**Registered**,,
043276,Female,White,N,,Montgomery,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,003,11270,RE,**Registered**,B,
043454,Female,Black or African American,Y,,Tippecanoe,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,002,25708,RE,**Registered**,C-,
043547,Female,White,N,,Bartholomew,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,003,27017,RE,**Registered**,,
043896,Female,White,N,,Boone,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,002,25708,RE,**Registered**,A+,
044239,Male,White,N,,Lake,Indiana,United States,Resident,N,N,202120,Spring 2021,PWL,PHYS17200,OL2,26668,DC,Drop Course,,
044297,Male,White,N,,Marion,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,001,25707,RE,**Registered**,C,
044614,Male,White,N,,Kosciusko,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,001,25707,RW,**Web Registered**,F,E
044632,Male,White,N,1st Generation Student,Allen,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS17200,092,21307,RW,**Web Registered**,,
045759,Female,Black or African American,Y,1st Generation Student,Marion,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,002,25708,RE,**Registered**,D,
045903,Female,White,N,,Tippecanoe,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,003,11270,RW,**Web Registered**,C+,
046240,Female,White,N,,Whitley,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,003,11270,RE,**Registered**,C+,
047113,Male,White,N,,,Indiana,United States,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,001,25707,RW,**Web Registered**,C+,
047184,Male,White,N,,Collin,Texas,,Non-Resident,N,N,202120,Spring 2021,PWL,PHYS22000,003,11270,RE,**Registered**,A-,
047377,Female,2 or more races,N,1st Generation Student,Howard,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,003,27017,RE,**Registered**,,
047401,Female,Black or African American,Y,,Hancock,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,050,10333,RW,**Web Registered**,,
047753,Male,White,N,1st Generation Student,Hamilton,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,001,25707,RE,**Registered**,P,
047897,Female,White,N,,Vermilion,Illinois,,Non-Resident,N,N,202210,Fall 2021,PWL,PHYS22000,003,27017,RE,**Registered**,,
048088,Male,White,N,,Lake,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,003,11270,RE,**Registered**,B+,
048092,Male,White,N,,Lake,Illinois,,Non-Resident,N,N,202210,Fall 2021,PWL,PHYS22000,003,27017,RE,**Registered**,,
048717,Female,2 or more races,Y,1st Generation Student,Dupage,Illinois,,Non-Resident,N,N,202120,Spring 2021,PWL,PHYS22000,OL1,26670,RW,**Web Registered**,D+,I
048717,Female,2 or more races,Y,1st Generation Student,Dupage,Illinois,,Non-Resident,N,N,202210,Fall 2021,PWL,PHYS22000,002,27016,RW,**Web Registered**,,
048726,Male,White,N,,Hendricks,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,062,23960,RE,**Registered**,,
049358,Female,White,N,1st Generation Student,Marion,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,002,27016,RW,**Web Registered**,,
049964,Female,White,N,,Benton,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,003,11270,RW,**Web Registered**,B,
050430,Female,White,N,,Lake,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,003,11270,RE,**Registered**,C-,
050436,Female,White,N,,Tippecanoe,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,003,27017,RE,**Registered**,,
050540,Female,White,N,,Hamilton,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,002,25708,RE,**Registered**,B,
050595,Female,Black or African American,Y,1st Generation Student,Cook,Illinois,,Non-Resident,N,N,202120,Spring 2021,PWL,PHYS22000,002,25708,RW,**Web Registered**,F,
050595,Female,Black or African American,Y,1st Generation Student,Cook,Illinois,,Non-Resident,N,N,202210,Fall 2021,PWL,PHYS22000,002,27016,DC,Drop Course,,
050595,Female,Black or African American,Y,1st Generation Student,Cook,Illinois,,Non-Resident,N,N,202210,Fall 2021,PWL,PHYS22000,062,23960,RE,**Registered**,,
050679,Female,White,N,,Allen,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,001,25707,RW,**Web Registered**,C+,
051564,Female,White,N,,Hancock,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,003,27017,RE,**Registered**,,
052310,Male,White,N,,Hamilton,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,003,11270,W,Withdrawn-W,W,
052310,Male,White,N,,Hamilton,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,002,27016,WF,Withdrawn-WF,WF,
052457,Female,White,N,1st Generation Student,Lake,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,062,23960,RW,**Web Registered**,,
052964,Male,White,N,,Delaware,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,050,10333,RE,**Registered**,,
053095,Male,White,N,,Hamilton,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,050,10333,RW,**Web Registered**,,
053098,Male,Black or African American,Y,,La Porte,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS17200,092,21307,RW,**Web Registered**,,
053303,Male,2 or more races,N,1st Generation Student,Chesapeake City,Virginia,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,002,25708,RE,**Registered**,P,
053763,Male,Black or African American,Y,,Cook,Illinois,,Non-Resident,N,N,202120,Spring 2021,PWL,PHYS22000,003,11270,RE,**Registered**,B-,
053773,Male,White,N,,Rockland,New York,,Non-Resident,N,N,202120,Spring 2021,PWL,PHYS22000,002,25708,RE,**Registered**,C,
053829,Male,Hispanic/Latino,Y,1st Generation Student,Tippecanoe,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,003,11270,RW,**Web Registered**,F,
054071,Female,Black or African American,Y,1st Generation Student,Bartholomew,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,002,27016,RE,**Registered**,,
054104,Female,2 or more races,Y,1st Generation Student,Marion,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,002,27016,RE,**Registered**,,
054497,Male,International,N,,,,India,Foreign,N,N,202120,Spring 2021,PWL,PHYS22000,OL1,26670,RE,**Registered**,A+,
055359,Male,White,N,1st Generation Student,St Joseph,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,002,25708,RW,**Web Registered**,C+,
055469,Female,White,N,,Vanderburgh,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS17200,019,28588,W,Withdrawn-W,W,
055820,Male,2 or more races,Y,,St Joseph,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,003,11270,RE,**Registered**,F,
056058,Male,Hispanic/Latino,Y,,Hamilton,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS17200,020,28589,RW,**Web Registered**,F,
056058,Male,Hispanic/Latino,Y,,Hamilton,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,002,27016,RW,**Web Registered**,,
056114,Female,White,N,,Sumner,Tennessee,,Non-Resident,N,N,202120,Spring 2021,PWL,PHYS22000,001,25707,RW,**Web Registered**,B+,I
056352,Female,White,N,,Elkhart,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,001,25707,RW,**Web Registered**,A+,
056904,Male,White,N,,Fayette,Kentucky,,Non-Resident,N,N,202120,Spring 2021,PWL,PHYS22000,003,11270,RE,**Registered**,A+,
057234,Male,Hispanic/Latino,Y,,Tippecanoe,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,001,25707,RW,**Web Registered**,D,
057245,Male,White,N,,Prince William,Virginia,,Non-Resident,N,N,202120,Spring 2021,PWL,PHYS22000,002,25708,RW,**Web Registered**,C,
057385,Female,2 or more races,N,,Fairfield,Connecticut,,Non-Resident,N,N,202210,Fall 2021,PWL,PHYS22000,050,10333,RE,**Registered**,,
058353,Female,White,N,1st Generation Student,Henry,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,062,23960,RW,**Web Registered**,,
058451,Male,White,N,,Johnson,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,001,25707,RW,**Web Registered**,B,I
058590,Female,White,N,,Hamilton,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,050,10333,RE,**Registered**,,
058730,Female,White,N,,Elkhart,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,003,11270,RW,**Web Registered**,C+,
059361,Male,White,N,1st Generation Student,Whitley,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS17200,017,28586,RW,**Web Registered**,A+,
059370,Male,International,N,,,,Republic of Korea,Foreign,N,N,202210,Fall 2021,PWL,PHYS17200,101,37254,RW,**Web Registered**,,
059743,Male,White,N,1st Generation Student,Vanderburgh,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,050,10333,RE,**Registered**,,
059787,Female,White,N,,Oakland,Michigan,,Non-Resident,N,N,202120,Spring 2021,PWL,PHYS22000,002,25708,RW,**Web Registered**,B-,
060676,Male,White,N,,Tippecanoe,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,003,11270,RE,**Registered**,A,
060695,Female,White,N,,Hamilton,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,001,25707,RE,**Registered**,C-,
060944,Male,White,N,,Contra Costa,California,,Non-Resident,N,N,202120,Spring 2021,PWL,PHYS22000,001,25707,RE,**Registered**,A-,
060993,Female,White,N,,Tippecanoe,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,003,27017,RW,**Web Registered**,,
061079,Female,Hispanic/Latino,Y,1st Generation Student,Burlington,New Jersey,,Non-Resident,N,N,202120,Spring 2021,PWL,PHYS22000,002,25708,RW,**Web Registered**,C+,
061173,Male,White,N,,Fayette,Kentucky,,Non-Resident,N,N,202210,Fall 2021,PWL,PHYS22000,003,27017,RE,**Registered**,,
061404,Male,Asian,N,1st Generation Student,Sarasota,Florida,,Non-Resident,N,N,202120,Spring 2021,PWL,PHYS22000,003,11270,W,Withdrawn-W,W,
061871,Male,White,N,,San Diego,California,,Non-Resident,N,N,202120,Spring 2021,PWL,PHYS22000,003,11270,RE,**Registered**,D+,
062625,Male,White,N,1st Generation Student,Washington,Maryland,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,003,11270,DC,Drop Course,,
062702,Female,Black or African American,Y,,Franklin,Ohio,,Non-Resident,N,N,202210,Fall 2021,PWL,PHYS22000,062,23960,RE,**Registered**,,
062739,Male,White,N,,Marion,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,002,25708,RE,**Registered**,A-,
062924,Male,White,N,,Tippecanoe,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,003,11270,RE,**Registered**,B-,
062950,Male,White,N,,Hennepin,Minnesota,,Non-Resident,N,N,202120,Spring 2021,PWL,PHYS22000,001,25707,W,Withdrawn-W,W,
063002,Male,White,N,,Santa Clara,California,,Non-Resident,N,N,202120,Spring 2021,PWL,PHYS17200,OL1,26669,RW,**Web Registered**,A+,
063113,Male,White,N,1st Generation Student,Tippecanoe,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,002,27016,RW,**Web Registered**,,
064018,Male,White,N,1st Generation Student,Lake,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS17200,101,37254,RE,**Registered**,,
064053,Female,White,N,,Boone,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,003,11270,RW,**Web Registered**,B+,I
064547,Female,2 or more races,N,,Hamilton,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,001,25707,RE,**Registered**,B+,
065120,Female,White,N,,Lake,Illinois,,Non-Resident,N,N,202120,Spring 2021,PWL,PHYS22000,001,25707,RE,**Registered**,D,I
065779,Male,International,N,,,,China,Foreign,N,N,202210,Fall 2021,PWL,PHYS22000,003,27017,RE,**Registered**,,
066374,Female,White,N,,Dearborn,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,001,25707,RE,**Registered**,C,
066382,Male,White,N,1st Generation Student,Allen,Ohio,,Non-Resident,N,N,202120,Spring 2021,PWL,PHYS22000,002,25708,RE,**Registered**,C+,
066715,Male,White,N,,Cook,Illinois,,Non-Resident,N,N,202210,Fall 2021,PWL,PHYS22000,050,10333,RW,**Web Registered**,,
066962,Male,White,N,,Tippecanoe,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,003,11270,RE,**Registered**,B,
067124,Female,Hispanic/Latino,Y,,Guaynabo,Puerto Rico,,Non-Resident,N,N,202120,Spring 2021,PWL,PHYS22000,001,25707,RE,**Registered**,B+,
067397,Male,International,N,,,,Turkey,Foreign,N,N,202210,Fall 2021,PWL,PHYS17200,101,37254,RW,**Web Registered**,,
067672,Male,White,N,1st Generation Student,Hancock,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,003,11270,W,Withdrawn-W,W,
068583,Male,Asian,N,,Santa Clara,California,,Non-Resident,N,N,202210,Fall 2021,PWL,PHYS17200,092,21307,DC,Drop Course,,
068852,Female,Asian,N,,St Joseph,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,003,11270,RW,**Web Registered**,A,
069048,Female,Hispanic/Latino,Y,1st Generation Student,Hamilton,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,002,25708,RW,**Web Registered**,C-,I
069474,Male,Black or African American,Y,1st Generation Student,Porter,Indiana,United States,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,001,25707,RE,**Registered**,A-,
069635,Female,2 or more races,Y,,Cook,Illinois,,Non-Resident,N,N,202210,Fall 2021,PWL,PHYS22000,062,23960,RE,**Registered**,,
069842,Male,White,N,,Hendricks,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,002,27016,RW,**Web Registered**,,
069896,Male,White,N,,Lawrence,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,050,10333,RW,**Web Registered**,,
070568,Female,White,N,,Lake,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,003,11270,RE,**Registered**,A,
070739,Male,International,N,1st Generation Student,King,Washington,United States,Foreign,N,N,202210,Fall 2021,PWL,PHYS22000,002,27016,RW,**Web Registered**,,
071173,Male,White,N,,Cumberland,Maine,,Non-Resident,N,N,202210,Fall 2021,PWL,PHYS22000,050,10333,RW,**Web Registered**,,
071231,Female,White,N,,Johnson,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,002,27016,RW,**Web Registered**,,
071452,Male,White,N,,Middlesex,Massachusetts,,Non-Resident,N,N,202210,Fall 2021,PWL,PHYS22000,003,27017,RE,**Registered**,,
071650,Female,White,N,1st Generation Student,Blackford,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,001,25707,RW,**Web Registered**,B,
071710,Female,White,N,1st Generation Student,Miami,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,002,25708,RW,**Web Registered**,B+,I
072266,Female,Black or African American,Y,,Marion,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,062,23960,RW,**Web Registered**,,
072544,Female,White,N,,Tippecanoe,Indiana,,Non-Resident,N,N,202210,Fall 2021,PWL,PHYS22000,002,27016,RE,**Registered**,,
072644,Female,White,N,,Johnson,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,002,25708,RW,**Web Registered**,B,
072725,Male,White,N,,Los Angeles,California,,Non-Resident,N,N,202120,Spring 2021,PWL,PHYS22000,001,25707,RW,**Web Registered**,C+,
073420,Female,2 or more races,N,,St Joseph,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,002,25708,RE,**Registered**,C,
073821,Female,Asian,N,,Alameda,California,,Non-Resident,N,N,202120,Spring 2021,PWL,PHYS22000,002,25708,RE,**Registered**,A-,
074467,Male,White,N,,Boone,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,002,25708,RE,**Registered**,A+,
074752,Male,White,N,,Chemung,New York,,Non-Resident,N,N,202120,Spring 2021,PWL,PHYS22000,002,25708,RE,**Registered**,F,I
075676,Male,White,N,,,Indiana,United States,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,001,25707,RE,**Registered**,N,
076035,Male,Hispanic/Latino,Y,,Miami-Dade,Florida,,Non-Resident,N,N,202210,Fall 2021,PWL,PHYS22000,003,27017,RE,**Registered**,,
076764,Female,Black or African American,Y,,Hamilton,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,001,25707,W,Withdrawn-W,W,
076877,Female,White,N,,Hancock,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,002,25708,RE,**Registered**,A,
078113,Male,White,N,,Clark,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS17200,100,26931,RE,**Registered**,,
078140,Male,White,N,,Norfolk,Massachusetts,,Non-Resident,N,N,202120,Spring 2021,PWL,PHYS22000,002,25708,W,Withdrawn-W,W,
079224,Female,White,N,,St Joseph,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,001,25707,RE,**Registered**,B-,
079597,Male,White,N,,Tippecanoe,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,050,10333,RE,**Registered**,,
080591,Male,Hispanic/Latino,Y,1st Generation Student,Tipton,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,003,11270,RE,**Registered**,C,
080711,Male,Unknown,N,,Tippecanoe,Indiana,,Non-Resident,N,N,202120,Spring 2021,PWL,PHYS22000,001,25707,RE,**Registered**,B-,
082630,Female,International,N,,,,Saudi Arabia,Foreign,N,N,202120,Spring 2021,PWL,PHYS22000,002,25708,RE,**Registered**,A+,
083468,Male,White,N,1st Generation Student,Kosciusko,Indiana,United States,Resident,N,N,202210,Fall 2021,PWL,PHYS17200,101,37254,RE,**Registered**,,
085542,Male,White,N,,Broward,Florida,,Non-Resident,N,N,202210,Fall 2021,PWL,PHYS22000,050,10333,RE,**Registered**,,
